dates,tension,temperature_stream,dH
2015-07-25 08:15:00,1.25452,16.697,-0.011812540002926327
2015-07-25 08:30:00,1.25338,16.687,-0.011757948887482484
2015-07-25 08:45:00,1.26295,16.66,-0.012599565771732282
2015-07-25 09:00:00,1.27096,16.675,-0.013174082208060036
2015-07-25 09:15:00,1.25673,16.652,-0.012140832755113093
2015-07-25 09:30:00,1.25319,16.619,-0.011978041408659915
2015-07-25 09:45:00,1.26463,16.642,-0.012793126252206515
2015-07-25 10:00:00,1.26474,16.662,-0.01273262489800503
2015-07-25 10:15:00,1.25608,16.591,-0.0123007694948698
2015-07-25 10:30:00,1.24838,16.564,-0.01179195526645167
2015-07-25 10:45:00,1.25517,16.579,-0.01227107355816707
2015-07-25 11:00:00,1.25208,16.566,-0.012074367225683055
2015-07-25 11:15:00,1.24537,16.561,-0.011566953136879436
2015-07-25 11:30:00,1.24083,16.606,-0.011056465567523198
2015-07-25 11:45:00,1.25048,16.598,-0.01183869038286928
2015-07-25 12:00:00,1.26169,16.612,-0.012666886602115963
2015-07-25 12:15:00,1.24544,16.577,-0.011517144539909206
2015-07-25 12:30:00,1.2438,16.642,-0.011164320225751808
2015-07-25 12:45:00,1.2398,16.602,-0.010989745076257572
2015-07-25 13:00:00,1.23541,16.633,-0.010539358765356312
2015-07-25 13:15:00,1.2538,16.569,-0.012198497546607826
2015-07-25 13:30:00,1.23465,16.604,-0.01058012951104709
2015-07-25 13:45:00,1.23907,16.581,-0.01100522054746071
2015-07-25 14:00:00,1.2396,16.65,-0.010808259253141123
2015-07-25 14:15:00,1.24464,16.611,-0.011337113574871287
2015-07-25 14:30:00,1.2604,16.703,-0.012251596934000523
2015-07-25 14:45:00,1.25174,16.598,-0.011937216335501684
2015-07-25 15:00:00,1.23785,16.621,-0.010771616750334985
2015-07-25 15:15:00,1.24296,16.605,-0.011226476485905098
2015-07-25 15:30:00,1.26211,16.633,-0.012627170618757231
2015-07-25 15:45:00,1.25303,16.588,-0.012072639557277495
2015-07-25 16:00:00,1.23442,16.584,-0.010631247441188355
2015-07-25 16:15:00,1.25483,16.578,-0.01224794233130926
2015-07-25 16:30:00,1.25307,16.579,-0.012106863637113068
2015-07-25 16:45:00,1.27382,16.562,-0.01378815144984583
2015-07-25 17:00:00,1.24983,16.586,-0.01182932519829706
2015-07-25 17:15:00,1.24884,16.562,-0.011834835341308202
2015-07-25 17:30:00,1.23884,16.561,-0.011056338477601976
2015-07-25 17:45:00,1.23037,16.551,-0.010428576542479178
2015-07-25 18:00:00,1.24453,16.551,-0.011535820581586172
2015-07-25 18:15:00,1.2398,16.545,-0.011186688131089159
2015-07-25 18:30:00,1.24567,16.547,-0.011638783675409691
2015-07-25 18:45:00,1.26284,16.552,-0.012964119561463254
2015-07-25 19:00:00,1.26005,16.549,-0.012756320376001433
2015-07-25 19:15:00,1.24449,16.542,-0.011563789045381618
2015-07-25 19:30:00,1.24449,16.541,-0.01156724418669446
2015-07-25 19:45:00,1.22503,16.534,-0.0100697515741172
2015-07-25 20:00:00,1.25906,16.523,-0.012768740801638265
2015-07-25 20:15:00,1.23274,16.513,-0.010745194537556414
2015-07-25 20:30:00,1.23735,16.501,-0.011147136107624226
2015-07-25 20:45:00,1.25395,16.49,-0.012483182990397069
2015-07-25 21:00:00,1.24506,16.471,-0.011853675342878992
2015-07-25 21:15:00,1.23697,16.455,-0.01127635843182392
2015-07-25 21:30:00,1.25345,16.436,-0.012630663021039204
